Year,Mo,Dy,TSU ,EQ,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent
1983,3,8,0,0,Klyuchevskoy,Kamchatka,Russia,56.056,160.642,4754,Stratovolcano,2,T
1983,7,23,0,0,Colo,Sulawesi-Indonesia,Indonesia,-0.162,121.601,404,Stratovolcano,4,
1983,8,17,1,0,Iliwerung,Lesser Sunda Is,Indonesia,-8.53,123.57,1018,Complex volcano,1,W
1983,10,3,0,1,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,3,"L,T"
1984,9,9,0,0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,M
1984,10,16,0,0,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,3,S
1985,5,10,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,A
1985,11,13,0,0,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,3,M
1985,12,19,0,0,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,1,S
1986,7,24,0,0,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,T
1986,8,21,1,0,Oku Volcanic Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,3,G
1986,10,15,0,0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,M
1986,11,15,0,0,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,758,Stratovolcano,3,I
1987,1,25,0,0,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3,
1987,4,17,0,0,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,T
1988,5,9,0,0,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,3,"T,L"
1988,7,6,0,0,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,T
1988,7,30,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T
1988,12,25,0,0,Lonquimay,Chile-C,Chile,-38.379,-71.586,2832,Stratovolcano,3,T
1990,2,2,0,0,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,3,
1990,2,10,0,0,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,"T,P"
1990,3,26,0,0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,G
1990,4,18,0,0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,G
1990,5,29,0,0,Coropuna,Peru,Peru,-15.52,-72.65,6377,Stratovolcano,3,
1990,7,19,0,0,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,3,T
1990,10,19,0,0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,G
1991,6,3,0,0,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1,P
1991,6,15,0,1,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,"P,m,I"
1991,7,3,0,0,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2,
1991,8,8,0,0,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,5,
1991,10,24,0,0,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1,"T,P"
1991,12,14,0,0,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,
1992,1,21,0,0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,M
1992,4,10,0,0,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,3,"T,I"
1992,5,11,0,0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,P
1992,7,5,0,0,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2,T
1992,7,12,0,0,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m
1992,9,17,0,0,Spurr,Alaska-SW,United States,61.299,-152.251,3374,Stratovolcano,4,I
1992,,,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T
1993,1,14,0,0,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,2,T
1993,2,2,0,0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,P
1993,3,12,0,0,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,1,T
1993,6,13,0,0,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,1,T
